rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,train/loss,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/value_loss,train/n_updates,train/clip_fraction,train/entropy_loss,train/explained_variance,train/std,train/learning_rate
-56.73311150000001,27,73,2048,1000.0,1,,,,,,,,,,,
-52.806324000000004,27,73,2048,1000.0,1,0.19619065523147583,0.0100797005,-0.006943693918583449,0.2,0.6665407730266452,10,0.092578125,-4.226243010163307,-0.0032979249954223633,0.9814207553863525,0.0003
-55.32497,22,180,4096,1000.0,2,0.16603606939315796,0.0053629754,-0.0059479658310010565,0.2,0.46699410697910937,20,0.0642578125,-4.195895804464817,0.16856998205184937,0.9779579043388367,0.0003
-54.552631,21,288,6144,1000.0,3,0.16072435677051544,0.0060840785,-0.006950193173543085,0.2,0.39671867617871615,30,0.07421875,-4.18572434335947,0.21097958087921143,0.9769225120544434,0.0003
-54.18796175,20,399,8192,1000.0,4,0.09462348371744156,0.011260865,-0.015356417787552345,0.2,0.352236987487413,40,0.11962890625,-4.179626974463463,0.26183557510375977,0.9731554388999939,0.0003
-52.8298228,20,507,10240,1000.0,5,0.13792423903942108,0.01421685,-0.01580114422540646,0.2,0.4596630022395402,50,0.1375,-4.161826050281524,0.14461147785186768,0.9667566418647766,0.0003
-58.87139,27,73,2048,1000.0,1,0.0803772360086441,0.015192537,-0.01545578538934933,0.2,0.33600612499285487,60,0.160693359375,-4.137092481553554,0.04424631595611572,0.9547839164733887,0.0003
-55.7287715,22,180,4096,1000.0,2,0.01760360598564148,0.016729454,-0.01685757379673305,0.2,0.30411195013439285,70,0.17294921875,-4.109162570536137,0.3915526270866394,0.9500035643577576,0.0003
-58.2227485,21,288,6144,1000.0,3,0.06508025527000427,0.013657983,-0.01470384778949665,0.2,0.32672805353067813,80,0.148486328125,-4.0924563854932785,0.5254811346530914,0.9448702931404114,0.0003
-60.162149125,20,399,8192,1000.0,4,0.04412681236863136,0.021514058,-0.01215887597281835,0.2,0.2177975045167841,90,0.159130859375,-4.079735806584358,0.7486898899078369,0.9416565895080566,0.0003
-60.9150814,20,511,10240,1000.0,5,0.040396906435489655,0.013988087,-0.013373723757104017,0.2,0.2720627448405139,100,0.16630859375,-4.074739673733712,0.800728365778923,0.9423990249633789,0.0003
